,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,property_type_Bed & Breakfast,cancellation_policy_strict
11594,False,True,True,2.0,2.0,False,2,1.0,1.0,1.0,1,2,90,32.0,True,64,3.17,89.0,9.0,9.0,9.0,9.0,9.0,9.0,629.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11595,False,True,False,1.0,1.0,False,2,1.0,1.0,1.0,1,4,10,70.0,False,3,0.14,100.0,10.0,9.0,10.0,10.0,10.0,9.0,2060.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11596,False,True,False,1.0,1.0,False,2,1.0,1.0,1.0,1,3,30,98.0,False,14,0.67,100.0,10.0,10.0,10.0,10.0,10.0,10.0,627.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
11597,False,True,True,4.0,4.0,True,2,1.0,1.0,1.0,1,4,14,51.0,True,77,3.74,95.0,10.0,10.0,10.0,10.0,10.0,9.0,3283.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11598,True,True,False,1.0,1.0,True,4,1.0,1.0,2.0,1,1,20,37.0,True,41,2.11,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1185.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11599,False,True,False,7.0,7.0,True,2,1.0,1.0,1.0,1,60,1125,25.0,False,3,0.2,87.0,10.0,7.0,10.0,9.0,10.0,9.0,676.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
11600,False,True,False,1.0,1.0,False,1,1.0,1.0,1.0,1,3,1125,40.0,True,4,0.23,95.0,9.0,10.0,9.0,9.0,9.0,9.0,626.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
11601,True,True,False,3.0,3.0,False,1,1.0,0.0,2.0,1,3,1125,24.0,True,8,0.4,97.0,10.0,9.0,10.0,10.0,8.0,10.0,1478.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
11602,False,True,True,2.0,2.0,False,2,2.0,1.0,1.0,1,3,1125,65.0,False,1,0.1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1386.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11603,False,True,True,1.0,1.0,True,3,1.0,1.0,2.0,2,2,8,70.0,True,14,0.68,97.0,10.0,9.0,9.0,9.0,9.0,10.0,2131.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
