,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,cancellation_policy_strict_14_with_grace_period
958,False,True,False,37.0,37.0,True,2,1.0,0.0,1.0,1,3,1125,215.0,False,1,0.23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,493,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
959,False,True,True,52.0,52.0,True,2,1.0,1.0,1.0,1,7,1125,155.0,False,2,0.13,100.0,9.0,9.0,10.0,10.0,10.0,10.0,699,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
960,False,True,True,24.0,24.0,True,2,1.0,0.0,1.0,1,2,1125,138.0,False,12,0.7,70.0,8.0,9.0,9.0,8.0,10.0,8.0,1747,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
961,False,True,False,37.0,37.0,True,2,1.0,1.0,1.0,1,3,1125,170.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,493,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
962,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,2,3,1125,170.0,False,5,0.13,84.0,7.0,7.0,10.0,10.0,10.0,7.0,1178,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
963,False,True,False,3.0,3.0,True,4,1.0,2.0,2.0,2,2,1125,195.0,False,35,4.98,94.0,9.0,10.0,10.0,10.0,10.0,9.0,772,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
964,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,2,10,125.0,True,7,0.68,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1610,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
965,False,True,False,1.0,1.0,True,3,1.0,2.0,2.0,3,2,1125,250.0,False,2,1.13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,221,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
966,False,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,30,1125,100.0,False,26,0.91,92.0,10.0,9.0,9.0,10.0,9.0,9.0,862,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
967,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,137.0,False,1,0.09,100.0,10.0,10.0,10.0,10.0,10.0,10.0,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
